,open,high,low,close,psar,sma10,sma20,sma50,sma100,sma200,Volume,RSI,BBW,bbhj,bbl
7040,242.12,242.19,241.63,241.69,246.1599885,244.14600000000013,244.6440000000004,244.33440000000047,242.19434999999976,236.0462999999999,6122,35.577809531898794,0.022198875380650997,0.029099942874932474,0.010044361787068289
7041,241.7,241.74,241.03,241.03,245.8881892,243.66800000000018,244.3795000000004,244.31540000000044,242.22794999999977,236.15999999999988,7794,33.200618616212296,0.024747639649743445,0.029099942874932474,0.010044361787068289
7042,240.98,241.31,240.95,241.31,245.499534,243.22100000000017,244.12100000000038,244.30860000000044,242.26284999999973,236.2798499999999,16306,35.17939498682814,0.025749821700359197,0.029099942874932474,0.010044361787068289
7043,241.32,241.58,241.19,241.28,245.04458063375358,242.81000000000017,243.9700000000004,244.31400000000048,242.28994999999975,236.40449999999987,17898,35.05956137200336,0.027673038,0.029099942874932474,0.010044361787068289
7044,241.71,241.99,241.01,241.97,244.63512257037823,242.53000000000014,243.81650000000042,244.34400000000048,242.32584999999975,236.52844999999988,21027,40.11244607142168,0.028263797,0.029099942874932474,0.010044361787068289
7045,242.08,242.67,241.63,241.84,244.2666103133404,242.18400000000014,243.6500000000004,244.3544000000005,242.36814999999973,236.64729999999986,15238,39.48902775661469,0.028642969445653983,0.029099942874932474,0.010044361787068289
7046,241.76,241.99,241.6,241.86,243.93494928200636,241.80600000000018,243.49900000000042,244.33320000000052,242.42094999999975,236.76649999999984,7850,39.644441353348675,0.028950014,0.029099942874932474,0.010044361787068289
7047,241.86,242.01,241.62,241.69,243.63645435380573,241.78800000000015,243.35750000000039,244.3014000000005,242.45844999999974,236.88284999999985,6400,38.73379748604554,0.029390355,0.029390355,0.010044361787068289
7048,241.78,241.85,241.31,241.655,243.36780891842517,241.64950000000013,243.20725000000044,244.2689000000005,242.49989999999977,236.98497499999988,7319,38.53752749,0.029580586,0.029580586,0.010044361787068289
7049,241.66,242,241.58,241.91,243.12602802658265,241.6235000000001,243.05575000000044,244.2537000000005,242.55279999999973,237.09412499999985,11200,40.88769362825535,0.029189321990370724,0.029580586,0.010044361787068289
